SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	April 29, 2021	April 28, 2021	April 27, 2021	April 26, 2021	April 23, 2021
Chinese yuan		0.1074690000	0.1073840000	0.1072660000	0.1072800000
Euro		0.8413450000	0.8416370000	0.8409460000	0.8406720000
Japanese yen		0.0063997000	0.0064319400	0.0064503100	0.0064571600
U.K. pound		0.9665710000	0.9685650000	0.9673140000	0.9676860000
U.S. dollar		0.6970550000	0.6962580000	0.6958590000	0.6967280000
Algerian dinar		0.0052209000		0.0052143100	0.0052163500
Australian dollar		0.5398690000	0.5430120000		0.5387800000
Botswana pula		0.0642685000	0.0644039000	0.0644365000	0.0643080000
Brazilian real		0.1290870000	0.1279460000	0.1275400000	0.1271840000
Brunei dollar		0.5253660000	0.5248040000	0.5250970000	0.5241710000
Canadian dollar			0.5613630000	0.5606340000	0.5578730000
Chilean peso		0.0009929280	0.0009847370	0.0009765890	0.0009876920
Colombian peso		0.0001875080	0.0001902540	0.0001911660	0.0001918930
Czech koruna		0.0324076000	0.0324975000	0.0325883000	0.0325255000
Danish krone		0.1131450000	0.1131830000	0.1130890000	0.1130520000
Indian rupee		0.0093684900	0.0093333000	0.0093070100	0.0093003200
Israeli New Shekel			0.2148280000	0.2147710000	0.2140490000
Korean won		0.0006275250	0.0006250070	0.0006219130	0.0006241400
Kuwaiti dinar		2.3142600000	2.3123800000	2.3118200000	
Malaysian ringgit		0.1699100000	0.1698810000	0.1695770000	0.1694580000
Mauritian rupee			0.0171597000	0.0171625000	0.0171488000
Mexican peso		0.0349030000	0.0348504000	0.0350803000	0.0350652000
New Zealand dollar		0.5016700000	0.5029070000		0.4996930000
Norwegian krone		0.0843076000	0.0841023000	0.0837950000	0.0837071000
Omani rial		1.8128900000	1.8108100000		
Peruvian sol			0.1816010000	0.1820190000	0.1848580000
Philippine peso		0.0143996000	0.0144013000	0.0143823000	0.0143946000
Polish zloty		0.1837300000	0.1840690000	0.1847890000	0.1840520000
Qatari riyal		0.1914990000	0.1912800000	0.1911700000	
Russian ruble		0.0093016300	0.0092886700	0.0093069100	0.0092786600
Saudi Arabian riyal		0.1858810000	0.1856690000		
Singapore dollar		0.5253660000	0.5248040000	0.5250970000	0.5241710000
South African rand		0.0486205000		0.0487522000	0.0488471000
Swedish krona		0.0830411000	0.0830124000	0.0831184000	0.0828787000
Swiss franc		0.7620170000	0.7622290000	0.7609170000	0.7614510000
Thai baht		0.0221964000	0.0221576000	0.0221336000	0.0221867000
Trinidadian dollar		0.1031190000	0.1027080000	0.1027050000	0.1029720000
U.A.E. dirham		0.1898040000	0.1895870000	0.1894780000	
Uruguayan peso		0.0158551000	0.0158061000	0.0157949000	0.0158128000

Currency units per SDR(3)

Currency	April 29, 2021	April 28, 2021	April 27, 2021	April 26, 2021	April 23, 2021
Chinese yuan		9.305010	9.312370	9.322620	9.321400
Euro		1.188570	1.188160	1.189140	1.189520
Japanese yen		156.257000	155.474000	155.031000	154.867000
U.K. pound		1.034590	1.032460	1.033790	1.033390
U.S. dollar		1.434610	1.436250	1.437070	1.435280
Algerian dinar		191.538000		191.780000	191.705000
Australian dollar		1.852300	1.841580		1.856050
Botswana pula		15.559700	15.527000	15.519200	15.550200
Brazilian real		7.746710	7.815800	7.840680	7.862620
Brunei dollar		1.903430	1.905470	1.904410	1.907770
Canadian dollar			1.781380	1.783690	1.792520
Chilean peso		1,007.120000	1,015.500000	1,023.970000	1,012.460000
Colombian peso		5,333.110000	5,256.130000	5,231.060000	5,211.240000
Czech koruna		30.857000	30.771600	30.685900	30.745100
Danish krone		8.838220	8.835250	8.842590	8.845490
Indian rupee		106.741000	107.143000	107.446000	107.523000
Israeli New Shekel			4.654890	4.656120	4.671830
Korean won		1,593.560000	1,599.980000	1,607.940000	1,602.200000
Kuwaiti dinar		0.432104	0.432455	0.432560	
Malaysian ringgit		5.885470	5.886470	5.897030	5.901170
Mauritian rupee			58.276100	58.266600	58.313100
Mexican peso		28.650800	28.694100	28.506000	28.518300
New Zealand dollar		1.993340	1.988440		2.001230
Norwegian krone		11.861300	11.890300	11.933900	11.946400
Omani rial		0.551605	0.552239		
Peruvian sol			5.506580	5.493930	5.409560
Philippine peso		69.446400	69.438200	69.529900	69.470500
Polish zloty		5.442770	5.432750	5.411580	5.433250
Qatari riyal		5.221960	5.227940	5.230950	
Russian ruble		107.508000	107.658000	107.447000	107.774000
Saudi Arabian riyal		5.379790	5.385930		
Singapore dollar		1.903430	1.905470	1.904410	1.907770
South African rand		20.567500		20.511900	20.472000
Swedish krona		12.042200	12.046400	12.031000	12.065800
Swiss franc		1.312310	1.311940	1.314200	1.313280
Thai baht		45.052400	45.131200	45.180200	45.072000
Trinidadian dollar		9.697530	9.736340	9.736620	9.711380
U.A.E. dirham		5.268590	5.274620	5.277660	
Uruguayan peso		63.071200	63.266700	63.311600	63.239900


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
